,Model,MSE,RMSE,MAE,R2,Variance,MAPE,Improvement
ALLSKY_SFC_SW_DWN,Ensemble,1341.810094217732,36.63072609460168,26.312893208914506,0.6733735612587541,1338.1290216674822,18.935579990468963,67.45198419034824
ALLSKY_SFC_SW_DNI,Ensemble,3674.3113745647265,60.616098311956094,46.134100308011654,0.5673441725159112,3668.3802825946714,168.9730623238043,58.18674353726724
ALLSKY_SFC_SW_DIFF,Random Forest,287.6176592183942,16.959294183968687,12.745129746965018,0.6889187379578278,287.5466129163356,17.21525300069391,69.54417755736645
CLRSKY_SFC_SW_DWN,Ensemble,114.3781297061469,10.694771138558641,7.7594839735141035,0.9631043012173659,114.37749250423975,3.378573378812203,96.31044400673376
T2M,Ensemble,0.8889032736535519,0.9428166702246794,0.7046002304314893,0.9738570993038488,0.8736513164972323,4.224206814489094,97.40969167494768
RH2M,Ensemble,36.44129784091025,6.036662806626708,4.331968078326572,0.9255836558199835,36.426345793471675,8.372102482284289,92.62915315822214
WS2M,Random Forest,0.07058510198408083,0.26567856892132047,0.1879852234091643,0.6767882746438745,0.07039712484263054,12.18363056341897,67.75919938433108
PRECTOTCORR,XGBoost,41.406061997712676,6.4347542297831914,3.168867126541127,0.5204748517287155,41.34757283279637,349493387029.7643,52.15458282660131
PS,Random Forest,0.05341423291989034,0.23111519404809877,0.1377766724826524,0.810973078900714,0.050671615606604936,0.15709692353844404,81.30962432870122
ALLSKY_KT,Ensemble,0.00848523861357165,0.09211535492832695,0.06725008816910671,0.5677946127214204,0.008454609970386127,18.495318728588384,57.93085736742909
