,Model,MSE,RMSE,MAE,R2,Variance,MAPE,Improvement,Tight_Range_Accuracy
ALLSKY_SFC_SW_DWN,XGBoost,24.313138369904483,4.93083546368204,3.146196492584658,0.9940816410350417,24.04273563347659,2.0757228852119667,99.41024112468966,97.1830985915493
ALLSKY_SFC_SW_DNI,XGBoost,59.250028331365094,7.697403999490029,4.584856107725223,0.9930232178433165,59.24706342481042,9.383670179939685,99.32574124033322,87.32394366197182
ALLSKY_SFC_SW_DIFF,XGBoost,6.871743074803738,2.6214009755860963,1.6613415745479965,0.9925676659981565,6.871705069432937,2.166527540886199,99.27235140037524,98.02816901408451
CLRSKY_SFC_SW_DWN,XGBoost,4.402497790956001,2.098212999424987,1.3486665335641779,0.9985798575933735,4.398256626942644,0.6081001545554915,99.85798629378102,100.0
T2M,XGBoost,0.03861977153495682,0.1965191378338426,0.10352017488613934,0.9988641814221286,0.03601346012490125,0.5752730976836617,99.88746006603458,100.0
RH2M,XGBoost,0.7321321230345627,0.8556471954226009,0.5662570666460925,0.9985049216333941,0.7301495239658847,1.1346664958783885,99.85191433712399,99.5774647887324
WS2M,XGBoost,0.003976973761063918,0.06306325206539794,0.04006396739247819,0.9817892938470301,0.003911731778413389,3.0257270746817655,98.18345777678232,93.09859154929578
PRECTOTCORR,XGBoost,1.7899308656223516,1.3378829790465052,0.37245215615174654,0.9792707438881698,1.7898473991942119,5053911063.1634445,97.93170408279892,27.1830985915493
PS,XGBoost,0.034789106152681944,0.18651838020067069,0.06122777460662395,0.8768852932194988,0.03304973998046712,0.06937078079559943,87.82681267299097,100.0
ALLSKY_KT,Gradient Boosting,0.0003530774293485255,0.018790354689268787,0.013089457134433727,0.9820155950774528,0.0003528990052911493,3.4033770097125355,98.24947000172193,94.22535211267605
