Parameter,Total_Records,Records_In_Range,Percentage_In_Range,Mean_Variance,Median_Variance,Std_Variance,Min_Variance,Max_Variance
ALLSKY_SFC_SW_DWN,710,529,74.50704225352112,0.009086881385467456,0.033840617277803686,0.2094549597939907,-0.8083162980287459,0.8516145409665249
ALLSKY_SFC_SW_DNI,710,450,63.38028169014085,0.0038145015896046317,0.03031873831963164,0.4680693915347546,-0.9974611300240113,1.9815326798520383
ALLSKY_SFC_SW_DIFF,710,513,72.25352112676056,0.002629768748577944,0.025840177388581666,0.20133663981762961,-0.6813783783773144,0.8026881359764221
CLRSKY_SFC_SW_DWN,710,694,97.74647887323944,0.00031632759449514087,0.0008969505582519519,0.047510763919844955,-0.25132764339734154,0.20247697306479628
T2M,710,682,96.05633802816902,0.0057549594012811425,0.0060327636055528345,0.06305992247351332,-0.38644285029126973,0.3663832020074521
RH2M,710,623,87.74647887323944,-0.005969336682884548,-0.0069564816766040745,0.1169041072874597,-0.44360852673692164,0.6618963338115199
WS2M,710,578,81.40845070422536,-0.010112394105322765,-0.024112480195530674,0.15838910874934659,-0.5912535341621201,1.0450835705600983
PRECTOTCORR,710,555,78.16901408450704,-0.08734470448612461,-0.9882470095979539,6.4076589639947095,-2.8324473019250966,166.75682204086053
PS,710,710,100.0,0.0005964925139894455,0.00019415832715477034,0.00256687503950113,-0.003916719953604321,0.013058054979193335
ALLSKY_KT,710,502,70.70422535211267,0.009421924203258443,0.027086646501048202,0.20371115300129064,-0.8287674078570073,0.9350728809326038
